wave_id,step,sim_time,respondent,question_type,target_j,target,value,is_fail_safe
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Arthur Burton,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Ayesha Khan,1,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Carlos Gomez,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Francisco Lopez,,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Giorgio Rossi,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Hailey Johnson,1,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Isabella Rodriguez,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Klaus Mueller,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Latoya Williams,,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Maria Lopez,1,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Mei Lin,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Rajiv Patel,,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Ryan Park,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Abigail Chen,Wolfgang Schulz,1,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Abigail Chen,1,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Ayesha Khan,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Carlos Gomez,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Francisco Lopez,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Giorgio Rossi,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Hailey Johnson,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Isabella Rodriguez,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Klaus Mueller,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Latoya Williams,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Maria Lopez,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Mei Lin,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Rajiv Patel,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Ryan Park,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Arthur Burton,Wolfgang Schulz,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Abigail Chen,1,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Arthur Burton,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Carlos Gomez,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Francisco Lopez,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Giorgio Rossi,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Hailey Johnson,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Isabella Rodriguez,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Klaus Mueller,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Latoya Williams,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Maria Lopez,0,0
2400,2400,2026-02-13 14:40:00,Abigail Chen,micro_tie,Ayesha Khan,Mei Lin,0,0
