wave_id,step,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
t2400,2400,Hailey Johnson,17,41,9,38,0.293103,0.653846,0.518987,0.346154,0.523810,0,105
t2400,2400,Isabella Rodriguez,11,38,15,41,0.224490,0.423077,0.481013,0.576923,0.495238,0,105
t2400,2400,Klaus Mueller,14,50,12,29,0.218750,0.538462,0.632911,0.461538,0.409524,0,105
t2400,2400,Latoya Williams,11,39,15,40,0.220000,0.423077,0.493671,0.576923,0.485714,0,105
t2400,2400,Maria Lopez,3,21,23,58,0.125000,0.115385,0.265823,0.884615,0.580952,14,105
t2400,2400,Mei Lin,7,29,19,50,0.194444,0.269231,0.367089,0.730769,0.542857,0,105
t2400,2400,Rajiv Patel,11,40,15,39,0.215686,0.423077,0.506329,0.576923,0.476190,0,105
t2400,2400,Ryan Park,17,35,9,44,0.326923,0.653846,0.443038,0.346154,0.580952,0,105
t2400,2400,Wolfgang Schulz,12,44,14,35,0.214286,0.461538,0.556962,0.538462,0.447619,0,105
t2400,2400,__overall__,186,594,204,591,0.238462,0.476923,0.501266,0.523077,0.493333,14,1575
